City_ID,City,Country,Max Temp,Lat,Lon,Hotel Name
422,Passos,BR,73.45,-20.7189,-46.6097,Hotel Mohallem
423,Hurghada,EG,60.03,27.2574,33.8129,Sea Star Beau Rivage Hotel
427,Benicarlo,ES,54.25,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
429,Maldonado,UY,70.99,-34.6667,-54.9167,La Cimarrona
430,Houma,US,60.01,29.5958,-90.7195,Courtyard by Marriott Houma
433,Hagere Hiywet,ET,63.9,8.9833,37.85,Hot Springs Resort
435,Jibuti,DJ,71.47,11.5,42.5,Orchid Main Camp Goubet
438,Nyimba,ZM,66.6,-14.5566,30.8149,Dali Dali Lodge
440,Buraydah,SA,64.85,26.326,43.975,Mövenpick Qassim
441,Bure,ET,65.44,10.7,37.0667,Holiday
444,Los Llanos De Aridane,ES,63.12,28.6585,-17.9182,Valle Aridane
445,Lucapa,AO,63.77,-8.4192,20.7447,Residência Ulisses Dos Santos
453,Locri,IT,50.32,38.2414,16.2623,Grand Hotel President
454,Kafue,ZM,65.75,-15.7691,28.1814,Purview Lodges Ltd
456,Praia,CV,73.94,14.9215,-23.5087,LT Aparthotel
460,Cookeville,US,50.58,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
463,Aboisso,CI,73.18,5.4678,-3.2071,Residence Belle Vue
465,Muborak,UZ,55.53,39.2553,65.1528,Muborak temiryoʻl vakzali
467,Knysna,ZA,61.99,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
